"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"10974","SLOATSBURG, NY",,"G",638,"G",4183,"G",17755,82,"SLOATSBURG","NY","ROCKLAND"
"10975","SOUTHFIELDS, NY",,"H",39,"G",618,"G",2828,10,"SOUTHFIELDS","NY","ORANGE"
"10976","SPARKILL, NY",,"G",945,"G",7266,"G",32480,51,"SPARKILL","NY","ROCKLAND"
"10977","SPRING VALLEY, NY",,"G",16953,"G",173635,"G",720006,1615,"SPRING VALLEY","NY","ROCKLAND"
"10979","STERLING FOREST, NY","C","S",0,"S",0,"S",0,4,"STERLING FOREST","NY","ORANGE"
"10980","STONY POINT, NY",,"G",2017,"G",16978,"G",75994,285,"STONY POINT","NY","ROCKLAND"
"10981","SUGAR LOAF, NY",,"J",74,"H",883,"H",3601,14,"SUGAR LOAF","NY","ORANGE"
"10982","TALLMAN, NY",,"G",331,"G",3232,"H",12943,34,"TALLMAN","NY","ROCKLAND"
"10983","TAPPAN, NY",,"G",1100,"G",12808,"G",51185,169,"TAPPAN","NY","ROCKLAND"
"10984","THIELLS, NY",,"G",76,"H",789,"H",3750,30,"THIELLS","NY","ROCKLAND"
"10985","THOMPSON RIDGE, NY",,"G",24,"H",180,"H",917,9,"THOMPSON RIDGE","NY","ORANGE"
"10986","TOMKINS COVE, NY",,"J",129,"H",822,"H",3695,34,"TOMKINS COVE","NY","ROCKLAND"
"10987","TUXEDO PARK, NY",,"G",475,"G",5661,"G",25512,82,"TUXEDO PARK","NY","ORANGE"
"10988","UNIONVILLE, NY",,"H",38,"G",320,"H",1865,9,"UNIONVILLE","NY","ORANGE"
"10989","VALLEY COTTAGE, NY",,"G",2525,"G",24377,"G",106018,246,"VALLEY COTTAGE","NY","ROCKLAND"
"10990","WARWICK, NY",,"G",3948,"G",32500,"G",139569,507,"WARWICK","NY","ORANGE"
"10992","WASHINGTONVILLE, NY",,"G",932,"G",9296,"G",38120,155,"WASHINGTONVILLE","NY","ORANGE"
"10993","WEST HAVERSTRAW, NY",,"G",1489,"H",14458,"H",58614,132,"WEST HAVERSTRAW","NY","ROCKLAND"
"10994","WEST NYACK, NY",,"G",7930,"G",72567,"G",303208,512,"WEST NYACK","NY","ROCKLAND"
"10996","WEST POINT, NY",,"H",786,"G",8525,"H",48079,40,"WEST POINT","NY","ORANGE"
"10998","WESTTOWN, NY",,"J",94,"H",584,"H",2842,35,"WESTTOWN","NY","ORANGE"
"11001","FLORAL PARK, NY",,"G",6350,"G",60745,"G",249567,745,"FLORAL PARK","NY","NASSAU"
"11002","FLORAL PARK, NY",,"G",20,"H",89,"H",391,5,"FLORAL PARK","NY","NASSAU"
"11003","ELMONT, NY",,"G",6685,"H",61197,"H",283346,663,"ELMONT","NY","NASSAU"
"11004","GLEN OAKS, NY",,"H",3251,"H",38719,"H",156553,283,"GLEN OAKS","NY","QUEENS"
"11005","FLORAL PARK, NY",,"G",277,"H",2818,"H",12261,34,"FLORAL PARK","NY","QUEENS"
"11010","FRANKLIN SQUARE, NY",,"G",4419,"G",39462,"G",169783,693,"FRANKLIN SQUARE","NY","NASSAU"
"11020","GREAT NECK, NY",,"H",665,"G",6023,"G",30534,160,"GREAT NECK","NY","NASSAU"
"11021","GREAT NECK, NY",,"G",15521,"G",222146,"G",938612,1963,"GREAT NECK","NY","NASSAU"
