PopRank,City,State,city_pop_2013,Pop2010,city_pop_chg_pcnt,ChangePercent,SqMi,city_pop_sqmi,city_longitude,city_latitude,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,state_name
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10018.0,40.755101,-73.99337,-5.0,1.0,"40.755101,-73.99337",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10016.0,40.746179999999995,-73.97759,-5.0,1.0,"40.74618,-73.97759",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10159.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10278.0,40.715721,-74.00395,-5.0,1.0,"40.715721,-74.00395",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10126.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10281.0,40.714643,-74.014958,-5.0,1.0,"40.714643,-74.014958",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10256.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10014.0,40.734718,-74.00532,-5.0,1.0,"40.734718,-74.00532",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10106.0,40.765243,-73.980438,-5.0,1.0,"40.765243,-73.980438",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10172.0,40.755494,-73.97447,-5.0,1.0,"40.755494,-73.97447",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10199.0,40.750308000000004,-74.00058,-5.0,1.0,"40.750308,-74.00058",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10292.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10023.0,40.776099,-73.98285,-5.0,1.0,"40.776099,-73.98285",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10035.0,40.802395000000004,-73.93359,-5.0,1.0,"40.802395,-73.93359",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10261.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10013.0,40.720665999999994,-74.00525999999999,-5.0,1.0,"40.720666,-74.00526",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10129.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10152.0,40.758611,-73.97223000000001,-5.0,1.0,"40.758611,-73.97223",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10132.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10031.0,40.826201,-73.94879,-5.0,1.0,"40.826201,-73.94879",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10257.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10020.0,40.758666999999996,-73.98024000000001,-5.0,1.0,"40.758667,-73.98024",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10280.0,40.707467,-74.0178,-5.0,1.0,"40.707467,-74.0178",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10022.0,40.759015000000005,-73.96732,-5.0,1.0,"40.759015,-73.96732",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10171.0,40.756099,-73.97400999999999,-5.0,1.0,"40.756099,-73.97401",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10111.0,40.759235,-73.97775,-5.0,1.0,"40.759235,-73.97775",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10197.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10274.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10006.0,40.707904,-74.01342,-5.0,1.0,"40.707904,-74.01342",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10196.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10170.0,40.752859,-73.97608000000001,-5.0,1.0,"40.752859,-73.97608",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10275.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10178.0,40.751378,-73.978507,-5.0,1.0,"40.751378,-73.978507",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10043.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10167.0,40.754862,-73.97495,-5.0,1.0,"40.754862,-73.97495",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10169.0,40.754463,-73.97606,-5.0,1.0,"40.754463,-73.97606",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10098.0,40.748181,-73.988421,-5.0,1.0,"40.748181,-73.988421",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10115.0,40.810906,-73.96375,-5.0,1.0,"40.810906,-73.96375",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10103.0,40.760915000000004,-73.97785,-5.0,1.0,"40.760915,-73.97785",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10005.0,40.706019,-74.00858000000001,-5.0,1.0,"40.706019,-74.00858",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10249.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10002.0,40.717040000000004,-73.987,-5.0,1.0,"40.71704,-73.987",New York
